Name,Source,Category,Description,Link
aider,GitHub,Repo,aider is AI pair programming in your terminal,https://github.com/Aider-AI/aider
aidea,GitHub,Repo,AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。,https://github.com/mylxsw/aidea
go-spew,GitHub,Repo,Implements a deep pretty printer for Go data structures to aid in debugging,https://github.com/davecgh/go-spew
AidLearning-FrameWork,GitHub,Repo,"🔥🔥🔥AidLearning is a powerful AIOT development platform, AidLearning builds a linux env supporting GUI, deep learning and visual IDE on Android...Now Aid supports CPU+GPU+NPU for inference with high performance acceleration...Linux on Android or HarmonyOS ",https://github.com/aidlearning/AidLearning-FrameWork
Search-Replace-DB,GitHub,Repo,This script was made to aid the process of migrating PHP and MySQL based websites. Works with most common CMSes.,https://github.com/interconnectit/Search-Replace-DB
BallonsTranslator,GitHub,Repo,"深度学习辅助漫画翻译工具, 支持一键机翻和简单的图像/文本编辑 | Yet another computer-aided comic/manga translation tool powered by deeplearning",https://github.com/dmMaze/BallonsTranslator
xdebug,GitHub,Repo,Xdebug — Step Debugger and Debugging Aid for PHP,https://github.com/xdebug/xdebug
Aidoku,GitHub,Repo,Free and open source manga reader for iOS and iPadOS,https://github.com/Aidoku/Aidoku
AIDungeon,GitHub,Repo,Infinite adventures await!,https://github.com/latitudegames/AIDungeon
OSINT,GitHub,Repo,Collections of tools and methods created to aid in OSINT collection,https://github.com/sinwindie/OSINT
llm_aided_ocr,GitHub,Repo,Enhance Tesseract OCR output for scanned PDFs by applying Large Language Model (LLM) corrections.,https://github.com/Dicklesworthstone/llm_aided_ocr
aide,GitHub,Repo,"Conquer Any Code in VSCode: One-Click Comments, Conversions, UI-to-Code, and AI Batch Processing of Files! 在 VSCode 中征服任何代码：一键注释、转换、UI 图生成代码、AI 批量处理文件！💪",https://github.com/nicepkg/aide
ck,GitHub,Repo,"Concurrency primitives, safe memory reclamation mechanisms and non-blocking (including lock-free) data structures designed to aid in the research, design and implementation of high performance concurrent systems developed in C99+.",https://github.com/concurrencykit/ck
aide,GitHub,Repo,The open-source AI-native IDE,https://github.com/codestoryai/aide
RA.Aid,GitHub,Repo,Develop software autonomously.,https://github.com/ai-christianson/RA.Aid
PoshC2,GitHub,Repo,A proxy aware C2 framework used to aid red teamers with post-exploitation and lateral movement.,https://github.com/nettitude/PoshC2
LLDB,GitHub,Repo,A collection of LLDB aliases/regexes and Python scripts to aid in your debugging sessions,https://github.com/DerekSelander/LLDB
Hackerrank-Solutions,GitHub,Repo,hackerrank solutions github | hackerrank all solutions | hackerrank solutions for java | hackerrank video tutorial | hackerrank cracking the coding interview solutions | hackerrank data structures  | hackerrank solutions algorithms  | hackerrank challenge | hackerrank coding challenge | hackerrank algorithms solutions github| hackerrank problem solving | hackerrank programs solutions | JAVAAID |all hackerrank solutions | Coding Interview Preparation ,https://github.com/Java-aid/Hackerrank-Solutions
aidea-server,GitHub,Repo,AIdea 是一款支持 GPT  以及国产大语言模型通义千问、文心一言等，支持 Stable Diffusion 文生图、图生图、 SDXL1.0、超分辨率、图片上色的全能型 APP。,https://github.com/mylxsw/aidea-server
VX-API,GitHub,Repo,Collection of various malicious functionality to aid in malware development,https://github.com/vxunderground/VX-API
litter,GitHub,Repo,Litter is a pretty printer library for Go data structures to aid in debugging and testing.,https://github.com/sanity-io/litter
json_serializable.dart,GitHub,Repo,Generates utilities to aid in serializing to/from JSON.,https://github.com/google/json_serializable.dart
compose-rules,GitHub,Repo,Static checks to aid with a healthy adoption of Compose,https://github.com/twitter/compose-rules
git-toolbelt,GitHub,Repo,A suite of useful Git commands that aid with scripting or every day command line usage,https://github.com/nvie/git-toolbelt
laravel-shopify,GitHub,Repo,A full-featured Laravel package for aiding in Shopify App development,https://github.com/gnikyt/laravel-shopify
WHC_DataModelFactory,GitHub,Repo,"Mac上iOS开发辅助工具，快速把json/xml数据转换生成对应模型类属性，省去麻烦手动创建，提高开发效率。Mac iOS development aid, quickly put the json/XML data transformation generates the corresponding model class attribute, save trouble created manually, improve the development efficiency.",https://github.com/netyouli/WHC_DataModelFactory
Evil-M5Project,GitHub,Repo,"Evil-M5Project is an innovative tool developed for ethical  hacking and exploration of WiFi networks. It's compatible with Cardputer, Atoms3, Fire, core2. You can scan, monitor, and interact with WiFi networks in a controlled environment. This project is designed for educational purposes, aiding in understanding network security and vulnerabilities",https://github.com/7h30th3r0n3/Evil-M5Project
wordpress-exploit-framework,GitHub,Repo,A Ruby framework designed to aid in the penetration testing of WordPress systems. ,https://github.com/rastating/wordpress-exploit-framework
devdb-vscode,GitHub,Repo,A zero-config VS Code database extension with affordances to aid development and debugging.,https://github.com/damms005/devdb-vscode
PoCBox,GitHub,Repo,PoCBox - Vulnerability Test Aid Platform,https://github.com/0verSp4ce/PoCBox
aideml,GitHub,Repo,AIDE: AI-Driven Exploration in the Space of Code. State of the Art machine Learning engineering agents that automates AI R&D.,https://github.com/WecoAI/aideml
BIOSUtilities,GitHub,Repo,Collection of various BIOS/UEFI-related utilities which aid in research and/or modding purposes.,https://github.com/platomav/BIOSUtilities
xivo,GitHub,Repo,X Inertial-aided Visual Odometry,https://github.com/ucla-vision/xivo
teachopencadd,GitHub,Repo,TeachOpenCADD: a teaching platform for computer-aided drug design (CADD) using open source packages and data,https://github.com/volkamerlab/teachopencadd
JustTryHarder,GitHub,Repo,"JustTryHarder, a cheat sheet which will aid you through the PWK course & the OSCP Exam. (Inspired by PayloadAllTheThings)",https://github.com/sinfulz/JustTryHarder
sharpgl,GitHub,Repo,Use OpenGL in .NET applications. SharpGL wraps all modern OpenGL features and offers a powerful scene graph to aid development.,https://github.com/dwmkerr/sharpgl
navaid,GitHub,Repo,"A navigation aid (aka, router) for the browser in 850 bytes~!",https://github.com/lukeed/navaid
AIDB,GitHub,Repo,ai4db and db4ai work,https://github.com/TsinghuaDatabaseGroup/AIDB
langchain4j-aideepin,GitHub,Repo,"基于AI的工作效率提升工具（聊天、绘画、知识库、工作流、 MCP服务市场） | Ai-based productivity tools (Chat,Draw,RAG,Workflow,MCP marketplace etc)",https://github.com/moyangzhan/langchain4j-aideepin
RepoToTextForLLMs,GitHub,Repo,"Automate the analysis of GitHub repositories for LLMs with RepoToTextForLLMs. Fetch READMEs, structure, and non-binary files efficiently. Outputs include analysis prompts to aid in comprehensive repo evaluation",https://github.com/Doriandarko/RepoToTextForLLMs
VulkanTools,GitHub,Repo,Tools to aid in Vulkan development,https://github.com/LunarG/VulkanTools
PoseDiffusion,GitHub,Repo,[ICCV 2023] PoseDiffusion: Solving Pose Estimation via Diffusion-aided Bundle Adjustment,https://github.com/facebookresearch/PoseDiffusion
learn-rust-101,GitHub,Repo,A guide to aid you in your journey of becoming a Rustacean (Rust developer). ,https://github.com/plabayo/learn-rust-101
efaqa-corpus-zh,GitHub,Repo,"❤️Emotional First Aid Dataset, 心理咨询问答、聊天机器人语料库",https://github.com/chatopera/efaqa-corpus-zh
aidermacs,GitHub,Repo,AI Pair Programming in Emacs with Aider,https://github.com/MatthewZMD/aidermacs
rosette,GitHub,Repo,"The Rosette solver-aided host language, sample solver-aided DSLs, and demos",https://github.com/emina/rosette
CAMotics,GitHub,Repo,Open-Source Simulation & Computer Aided Machining - A 3-axis CNC GCode simulator,https://github.com/CauldronDevelopmentLLC/CAMotics
Financial-aid-on-coursera-,GitHub,Repo,Applying for financial aid on coursera ,https://github.com/abdelrahmaan/Financial-aid-on-coursera-
aide,GitHub,Repo,aide source code,https://github.com/aide/aide
